item,Aug 2022 (RM),Aug 2026 (RM),change_rm,change_pct
Ayam bersih 1kg,8.49,9.29,0.8,9.4
Telur ayam Gred A (30 biji),13.5,14.7,1.2,8.9
"Beras Super Cap Rambutan 5% Import, 10kg",28.99,35.99,7.0,24.1
Minyak masak 1kg,2.5,2.5,0.0,0.0
Gula putih 1kg,2.95,2.95,0.0,0.0
Ikan kembung 1kg,16.0,16.0,0.0,0.0
Kangkung 1kg,5.0,5.0,0.0,0.0
Tomato 1kg,6.0,9.0,3.0,50.0
Bawang besar 1kg,3.5,3.19,-0.31,-8.9
"Cili merah minyak, 1kg",16.99,12.99,-4.0,-23.5
